ID,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-02-26,6.25,-0.25,0.75,,,1.0,2.0,,,,,,,,,,,,
AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-21,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,3139.218,6280.89,1007.456,49.544,,172.20600000000002,239.751,4508.5,915.445,0.0,598.754,
AS14.01,2014-03-22,6.4,0.6,0.5,0.23688021923995814,6142.160999536513,3.0,1.0,731.429,4962.918,93.324,21.076,,0.0,98.143,439.632,37.305,0.0,117.62100000000001,
AS14.01,2014-03-23,6.8,0.2,0.8,0.14274111580506366,6773.832001447675,0.0,0.0,1286.246,5237.319,94.346,43.403,,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386
AS14.01,2014-03-24,6.0,0.8,0.0,0.07896105611559796,15047.351000547404,10.0,0.0,866.956,9270.629,976.9709999999999,34.106,,3.01,66.558,3223.6259999999997,419.805,0.0,178.732,30.554232558139535
AS14.01,2014-03-25,6.75,0.5,0.5,0.09837411239050677,21475.35499906539,0.0,1.0,1032.768,10276.751,68.206,43.054,,0.0,178.81900000000002,1919.471,0.0,235.223,222.893,30.722465116279068
AS14.01,2014-03-26,6.6,-0.2,0.6,0.10130832167007592,16423.80100035667,0.0,0.0,1167.497,8988.753,910.479,52.331,,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,30.890697674418604
AS14.01,2014-03-27,7.0,0.2,0.8,0.15951064096909748,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.219,,182.451,58.532,935.381,47.314,0.0,179.029,31.05893023255814
AS14.01,2014-03-28,6.4,-0.6,0.6,0.09569802163712014,4923.48899960518,5.0,0.0,10062.595,866.833,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,31.227162790697673
