ID,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-02-26,6.25,-0.25,0.75,0.054715032240538544,2860.2727999210356,1.0,2.0,1467.7186,1524.7766,206.8594,23.099399999999996,294.1776,67.42699999999999,50.594800000000006,1072.9804,6.0332,79.1716,44.25,1.6132000000000002
AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,0.052013001989519456,3806.6232001304625,0.0,0.0,1016.9338,1792.3568,208.65140000000002,0.0,46.731399999999994,0.0,27.1274,1240.4270000000001,30.9524,24.5472,7.231199999999999,0.0
AS14.01,2014-03-21,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,3139.218,6280.89,1007.456,49.544,166.4356,172.20600000000002,239.751,4508.5,915.445,0.0,598.754,4.2314
AS14.01,2014-03-22,6.4,0.6,0.5,0.23688021923995814,6142.160999536513,3.0,1.0,731.429,4962.918,93.324,21.076,191.82139999999998,0.0,98.143,439.632,37.305,0.0,117.62100000000001,30.544800000000002
AS14.01,2014-03-23,6.8,0.2,0.8,0.14274111580506366,6773.832001447675,0.0,0.0,1286.246,5237.319,94.346,43.403,124.24159999999999,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386
AS14.01,2014-03-24,6.0,0.8,0.0,0.07896105611559796,15047.351000547404,10.0,0.0,866.956,9270.629,976.9709999999999,34.106,0.8042,3.01,66.558,3223.6259999999997,419.805,0.0,178.732,14.9772
AS14.01,2014-03-25,6.75,0.5,0.5,0.09837411239050677,21475.35499906539,0.0,1.0,1032.768,10276.751,68.206,43.054,513.8658,0.0,178.81900000000002,1919.471,0.0,235.223,222.893,2.8238
AS14.01,2014-03-26,6.6,-0.2,0.6,0.10130832167007592,16423.80100035667,0.0,0.0,1167.497,8988.753,910.479,52.331,46.9482,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0
AS14.01,2014-03-27,7.0,0.2,0.8,0.15951064096909748,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.219,405.0406,182.451,58.532,935.381,47.314,0.0,179.029,14.9772
AS14.01,2014-03-28,6.4,-0.6,0.6,0.09569802163712014,4923.48899960518,5.0,0.0,10062.595,866.833,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,16.7438
AS14.01,2014-03-29,8.0,0.2,1.0,0.06820281010186964,8322.6219997406,4.0,1.0,1952.63,2720.692,1627.429,0.0,0.0,0.0,169.594,472.888,52.434999999999995,0.0,600.637,88.64779999999999
AS14.01,2014-03-30,7.5,-0.5,0.75,0.049092970521542,4523.2140009403265,0.0,0.0,414.365,1298.505,1535.677,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,11.85
AS14.01,2014-03-31,7.4,0.0,0.6,0.07050548088338955,11836.834000349041,6.0,0.0,2961.4049999999997,5332.637,1758.92,41.254999999999995,51.176,0.0,268.554,1350.655,183.381,29.29,210.305,6.574800000000001
AS14.01,2014-04-01,6.0,0.2,0.0,0.118443242712736,17173.906002044678,1.0,0.0,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0.0,517.636,3.0140000000000002
AS14.01,2014-04-02,6.5,0.3333333333333333,0.6666666666666666,0.10191661063822348,21358.510999917988,4.0,0.0,3614.349,6920.156,1343.376,247.777,0.0,90.481,541.5409999999999,3428.792,0.0,0.0,341.371,4.8446
AS14.01,2014-04-03,6.4,-1.2,0.0,0.04923847270844108,21401.835000753403,4.0,0.0,2321.464,14438.082,1293.631,76.234,0.0,0.0,213.90200000000002,3154.241,19.082,0.0,182.77200000000002,17.801
AS14.01,2014-04-04,6.2,0.2,0.4,0.12668931120732582,12379.411000013357,2.0,1.0,1957.829,5481.628,1545.2269999999999,0.0,0.0,0.0,176.801,2086.197,158.24099999999999,0.0,128.692,3.2172000000000005
AS14.01,2014-04-05,6.8,-0.4,0.6,0.1190023022034455,3340.4309999942784,0.0,0.0,15159.190000000002,1885.409,76.369,0.0,0.0,0.0,81.133,363.208,187.945,0.0,118.956,20.8474
AS14.01,2014-04-06,6.5,-0.75,0.5,0.06440779944246815,7467.321999788283,4.0,0.0,4548.662,3355.743,187.214,0.0,114.406,0.0,119.12,321.46000000000004,0.0,0.0,46.249,23.6036
AS14.01,2014-04-07,6.5,-0.6666666666666666,0.25,0.050670621174317886,9846.380999803541,1.0,0.0,927.377,7355.015,447.121,46.128,0.0,17.107,170.348,1475.418,60.247,0.0,205.81100000000004,17.4694
AS14.01,2014-04-08,6.6,-0.4,0.3333333333333333,0.07532705826134849,15101.132001876831,1.0,0.0,892.689,9477.553,3466.4790000000003,19.131,0.0,0.0,209.514,2655.121,0.0,0.0,36.143,14.9772
